"price","host_is_superhost","host_identity_verified","instant_bookable","host_listings_count","host_total_listings_count","bedrooms","bathrooms","accommodates","beds","room_type","Amenities_Offered"
236,0,1,1,0,0,2,1,4,2,0,27
414,1,1,1,1,1,4,1,8,4,0,9
85,1,1,1,1,1,1,1,2,1,0,28
250,1,1,0,2,2,3,1.5,6,4,0,42
129,0,1,0,2,2,1,1,4,2,0,28
499,0,1,0,1,1,4,3,11,9,0,16
358,0,1,1,316,316,3,3,10,7,0,16
101,0,1,1,0,0,1,1,2,2,0,29
168,1,1,0,35,35,4,2,8,5,0,35
130,1,1,0,1,1,2,1,4,3,0,30
429,0,1,1,37,37,3,1,8,4,0,12
80,1,0,0,2,2,1,1,2,1,1,32
350,1,1,0,2,2,3,2,8,5,0,48
180,1,1,1,10,10,2,1,5,3,0,39
483,0,1,1,316,316,4,2,8,6,0,14
120,0,0,1,3,3,1,1,5,3,0,13
134,1,1,0,2,2,1,1,2,2,0,22
368,0,1,1,316,316,4,2,6,5,0,17
85,0,1,1,1,1,1,1,2,1,1,6
195,1,1,1,2,2,2,2,4,3,0,23
480,0,1,1,1,1,3,2.5,8,6,0,45
153,1,1,1,1,1,1,1,2,1,0,54
187,0,1,1,316,316,2,1,7,6,0,11
200,1,1,0,1,1,4,2,8,6,0,27
250,0,0,0,1,1,3,1,4,2,0,9
168,0,1,0,38,38,1,1,3,2,0,27
164,1,1,1,0,0,3,2,6,3,0,39
176,1,1,0,1,1,1,1,2,1,0,46
215,0,1,0,38,38,2,2,4,2,0,29
231,0,1,0,2,2,3,1,6,6,0,32
160,1,0,0,0,0,4,2,10,7,0,25
97,0,1,1,1,1,1,1,2,1,0,14
60,1,1,1,2,2,1,1,2,1,0,26
94,1,1,1,1,1,3,1.5,5,3,1,67
264,0,1,0,1,1,3,1.5,7,4,0,16
120,1,0,0,2,2,1,1.5,2,1,1,25
206,0,1,1,73,73,1,1,4,2,0,9
248,0,1,1,0,0,1,1,2,1,1,35
126,0,0,1,1,1,3,1.5,10,8,0,9
150,0,0,1,1,1,2,1.5,8,6,0,23
380,0,1,1,316,316,3,2,6,3,0,13
156,0,0,1,1,1,1,1,2,1,1,16
110,0,1,0,0,0,1,1,2,1,1,34
121,1,1,0,1,1,1,1,2,1,1,23
140,1,1,1,0,0,2,1,5,4,0,16
83,0,1,1,28,28,1,1,2,2,3,14
80,0,0,0,0,0,2,1,6,5,0,14
115,0,1,1,5,5,1,1,2,2,1,9
60,1,1,0,2,2,1,1,2,1,1,25
215,1,1,1,1,1,3,2,8,6,0,32
225,1,1,1,0,0,1,1,2,1,1,34
167,0,1,0,0,0,3,2,10,8,0,32
50,1,1,1,1,1,2,1,4,3,1,20
80,0,0,1,1,1,1,1,5,5,0,13
60,1,1,0,1,1,1,1,2,1,1,16
393,0,1,1,316,316,3,1,5,4,0,15
600,1,1,0,2,2,3,2,6,4,0,62
379,0,1,1,73,73,3,1,5,4,0,13
400,1,1,1,47,47,3,2,7,4,0,38
185,1,1,1,1,1,1,1,2,1,0,31
203,0,1,0,0,0,3,1,7,7,0,19
339,1,1,0,35,35,3,2,7,5,0,32
191,1,1,1,0,0,2,1,4,3,0,44
62,0,1,0,0,0,1,1,2,1,1,15
250,0,1,0,0,0,2,2.5,4,2,0,20
178,0,1,0,38,38,1,1,4,2,0,38
194,1,1,1,2,2,1,1,2,1,0,34
110,1,1,0,0,0,2,1,4,3,0,37
257,0,1,1,14,14,2,1,4,2,0,30
